timestamp,event,ip,username,success,date,hour,day_of_week,attempts_by_ip,attempts_by_user,suspicious,event_id
2026-07-30 23:49:09.880918,login_attempt,123.176.240.61,tomas,False,2026-07-30,23,Thursday,1,1,False,865d5a48d25cb2fee204b2739c999009fa17484b1189a8afc432d5552324f3d2
2026-07-30 23:49:10.890849,login_attempt,214.111.20.82,tomas,False,2026-07-30,23,Thursday,1,2,False,eb5e2b969ca9cc1fbfe49243898cf979d645de9e2916ea44b036d0beee4fa74c
2026-07-30 23:49:11.901508,login_attempt,173.199.126.26,support,False,2026-07-30,23,Thursday,1,1,False,7fbe2cc4c63755aae57da3ffbea2ae2994952655bee015939a2a35ed4209c901
2026-07-30 23:49:12.910887,login_attempt,106.77.73.202,admin,False,2026-07-30,23,Thursday,1,1,False,08f5350ca031787fb1d0ae2a2165519b63f71927b575d0fb5fa0a6dd67f27391
2026-07-30 23:49:13.918231,login_attempt,59.128.241.31,root,False,2026-07-30,23,Thursday,1,1,False,031faa97cb26cd84795f532950f4bd1a6c941194725c5ced3ef6d02e2e2333d8
2026-07-30 23:49:14.928395,login_attempt,40.252.26.212,backup,False,2026-07-30,23,Thursday,1,1,False,615902a0694614ff89788e373913387513e75a22f5f41aef02157ec4726a2147
2026-07-30 23:49:15.938326,login_attempt,81.151.12.124,admin,False,2026-07-30,23,Thursday,1,2,False,084af0822256a31fc2905b4ad5ef7780e1630e7d037326fe34a7f4468c1a4d04
2026-07-30 23:49:16.949908,login_attempt,63.1.146.193,guest,False,2026-07-30,23,Thursday,1,1,False,f350f08b40495ae5ce068251243b9f2a69908b006cf224544e4e1e1bb298ca74
2026-07-30 23:49:17.960799,login_attempt,144.254.18.117,operator,False,2026-07-30,23,Thursday,1,1,False,ea2ce46264699fed6bd4ddf0def54d4671e061089fb3852fe706a9ea6aa40d59
2026-07-30 23:49:18.971050,login_attempt,75.121.159.222,backup,False,2026-07-30,23,Thursday,1,2,False,1bdfd4b37e62287dfcddbda80220edb908d0731e83cd0fa31bc816bdc9bb6f14
2026-07-30 23:49:19.980283,login_attempt,214.240.85.27,backup,False,2026-07-30,23,Thursday,1,3,False,fc6c26c4086251e5c8a40e704176179439a1d46056915489124b8de7b955c9cd
2026-07-30 23:49:20.993117,login_attempt,54.45.179.187,test,False,2026-07-30,23,Thursday,1,1,False,1b26505723b9ee54d96ff2210f2fff72e0b122944cff39e3ee6ea7d022551ea1
2026-07-30 23:49:22.003457,login_attempt,69.23.151.162,admin,False,2026-07-30,23,Thursday,1,3,False,2e039226e81e8fd4d193484d98ae1298232557dba009e791f73c38c78cb49bb2
2026-07-30 23:49:23.014704,login_attempt,82.108.254.139,tomas,False,2026-07-30,23,Thursday,1,3,False,a9c5e0e5e1ed91b838b7084ecc0e4b998aba7d61b8b02c0fec7ce40363fbf8e0
2026-07-30 23:49:24.024389,login_attempt,58.12.77.171,tomas,False,2026-07-30,23,Thursday,1,4,False,d453ebb4373adeb88b132679ea2d5abdb19320f0ec60accdc68424365509c5aa
2026-07-30 23:49:25.032649,login_attempt,198.220.124.236,developer,False,2026-07-30,23,Thursday,1,1,False,ae20a8f63b7b7077a39ed30a9b428141664424fe324bd9fff86aa9a1d7e0a06b
2026-07-30 23:49:26.043031,login_attempt,161.153.36.112,operator,False,2026-07-30,23,Thursday,1,2,False,4293699a5e6e231719992ea793759efffd574664c2bb8630ac14fde83aad633a
2026-07-30 23:49:27.054247,login_attempt,220.188.215.74,operator,False,2026-07-30,23,Thursday,1,3,False,82a1a070953460d3ab6025300b654b13a7a49a465cce210e1695a7c29822de3e
2026-07-30 23:49:28.063642,login_attempt,109.65.143.65,developer,False,2026-07-30,23,Thursday,1,2,False,59d6bd23d2e9de3badfbecc8070ed568bf39a4ecd1019371b0a7ea7c4b2c5a85
2026-07-30 23:49:29.073572,login_attempt,190.97.1.159,support,False,2026-07-30,23,Thursday,1,2,False,c04692bd9a0798c68215e9926576a501ab10425741ce7fb87259b6c35533385e
